
libgomp: Invalid value for environment variable OMP_NUM_THREADS
08-29 00:32:33 Model para number = 1.04
Training checkpoint exps/qmf_sync_rank_smoke_seed0/model/training_0005.checkpoint loaded; resume from epoch 6 with optimizer and scheduler state!
08-29 00:40:19 [ 6] r: 1.200000, Lr: 0.000774, Training: 3.28%,  LossV: 0.39395, LossAV: 0.24180, LossSync: 0.61649, LossRank: 0.01658, Loss: 0.50209, ACC: 89.94% 
08-29 00:40:24 [ 6] r: 1.200000, Lr: 0.000774, Training: 3.35%,  LossV: 0.39448, LossAV: 0.24123, LossSync: 0.61701, LossRank: 0.01665, Loss: 0.50184, ACC: 90.00% 
08-29 00:40:27 [ 6] r: 1.200000, Lr: 0.000774, Training: 3.43%,  LossV: 0.39367, LossAV: 0.24025, LossSync: 0.61570, LossRank: 0.01654, Loss: 0.50031, ACC: 90.09% 
08-29 00:40:31 [ 6] r: 1.200000, Lr: 0.000774, Training: 3.50%,  LossV: 0.39427, LossAV: 0.24201, LossSync: 0.61498, LossRank: 0.01666, Loss: 0.50231, ACC: 90.06% 
08-29 00:40:36 [ 6] r: 1.200000, Lr: 0.000774, Training: 3.57%,  LossV: 0.39319, LossAV: 0.24089, LossSync: 0.61462, LossRank: 0.01649, Loss: 0.50060, ACC: 90.09% 
08-29 00:40:37 [ 6] r: 1.200000, Lr: 0.000774, Training: 3.64%,  LossV: 0.39183, LossAV: 0.23949, LossSync: 0.61301, LossRank: 0.01634, Loss: 0.49833, ACC: 90.16% 
08-29 00:40:39 [ 6] r: 1.200000, Lr: 0.000774, Training: 3.71%,  LossV: 0.39409, LossAV: 0.24414, LossSync: 0.61371, LossRank: 0.01665, Loss: 0.50422, ACC: 89.98% 
08-29 00:40:41 [ 6] r: 1.200000, Lr: 0.000774, Training: 3.78%,  LossV: 0.40074, LossAV: 0.24629, LossSync: 0.61391, LossRank: 0.01740, Loss: 0.50979, ACC: 89.90% 
08-29 00:40:44 [ 6] r: 1.200000, Lr: 0.000774, Training: 3.85%,  LossV: 0.40427, LossAV: 0.24815, LossSync: 0.61430, LossRank: 0.01774, Loss: 0.51350, ACC: 89.86% 
08-29 00:40:46 [ 6] r: 1.200000, Lr: 0.000774, Training: 3.93%,  LossV: 0.40502, LossAV: 0.25071, LossSync: 0.61536, LossRank: 0.01782, Loss: 0.51654, ACC: 89.72% 
08-29 00:40:49 [ 6] r: 1.200000, Lr: 0.000774, Training: 4.00%,  LossV: 0.40511, LossAV: 0.25132, LossSync: 0.61480, LossRank: 0.01787, Loss: 0.51714, ACC: 89.72% 
08-29 00:40:53 [ 6] r: 1.200000, Lr: 0.000774, Training: 4.07%,  LossV: 0.40682, LossAV: 0.25181, LossSync: 0.61492, LossRank: 0.01799, Loss: 0.51851, ACC: 89.70% 
08-29 00:40:57 [ 6] r: 1.200000, Lr: 0.000774, Training: 4.14%,  LossV: 0.40650, LossAV: 0.25152, LossSync: 0.61483, LossRank: 0.01789, Loss: 0.51804, ACC: 89.68% 
08-29 00:41:00 [ 6] r: 1.200000, Lr: 0.000774, Training: 4.21%,  LossV: 0.40857, LossAV: 0.25091, LossSync: 0.61510, LossRank: 0.01828, Loss: 0.51853, ACC: 89.74% 
08-29 00:41:03 [ 6] r: 1.200000, Lr: 0.000774, Training: 4.28%,  LossV: 0.40804, LossAV: 0.25067, LossSync: 0.61440, LossRank: 0.01822, Loss: 0.51795, ACC: 89.73% 
08-29 00:41:04 [ 6] r: 1.200000, Lr: 0.000774, Training: 4.35%,  LossV: 0.40776, LossAV: 0.25075, LossSync: 0.61474, LossRank: 0.01823, Loss: 0.51793, ACC: 89.72% 
08-29 00:41:08 [ 6] r: 1.200000, Lr: 0.000774, Training: 4.43%,  LossV: 0.40787, LossAV: 0.24977, LossSync: 0.61522, LossRank: 0.01824, Loss: 0.51705, ACC: 89.78% 
08-29 00:41:08 [ 6] r: 1.200000, Lr: 0.000774, Training: 4.50%,  LossV: 0.40932, LossAV: 0.24945, LossSync: 0.61430, LossRank: 0.01838, Loss: 0.51738, ACC: 89.80% 
08-29 00:41:12 [ 6] r: 1.200000, Lr: 0.000774, Training: 4.57%,  LossV: 0.40892, LossAV: 0.25016, LossSync: 0.61427, LossRank: 0.01831, Loss: 0.51788, ACC: 89.74% 
08-29 00:41:15 [ 6] r: 1.200000, Lr: 0.000774, Training: 4.64%,  LossV: 0.40783, LossAV: 0.24917, LossSync: 0.61436, LossRank: 0.01827, Loss: 0.51635, ACC: 89.82% 
08-29 00:41:17 [ 6] r: 1.200000, Lr: 0.000774, Training: 4.71%,  LossV: 0.40738, LossAV: 0.24905, LossSync: 0.61493, LossRank: 0.01819, Loss: 0.51605, ACC: 89.81% 
08-29 00:41:20 [ 6] r: 1.200000, Lr: 0.000774, Training: 4.78%,  LossV: 0.40690, LossAV: 0.24800, LossSync: 0.61440, LossRank: 0.01815, Loss: 0.51471, ACC: 89.87% 
08-29 00:41:23 [ 6] r: 1.200000, Lr: 0.000774, Training: 4.85%,  LossV: 0.40472, LossAV: 0.24630, LossSync: 0.61442, LossRank: 0.01800, Loss: 0.51190, ACC: 89.93% 
08-29 00:41:26 [ 6] r: 1.200000, Lr: 0.000774, Training: 4.93%,  LossV: 0.40531, LossAV: 0.24837, LossSync: 0.61451, LossRank: 0.01806, Loss: 0.51428, ACC: 89.85% 
08-29 00:41:26 [ 6] r: 1.200000, Lr: 0.000774, Training: 5.00%,  LossV: 0.40311, LossAV: 0.24696, LossSync: 0.61485, LossRank: 0.01794, Loss: 0.51180, ACC: 89.90% 
08-29 00:41:29 [ 6] r: 1.200000, Lr: 0.000774, Training: 5.07%,  LossV: 0.40198, LossAV: 0.24603, LossSync: 0.61526, LossRank: 0.01785, Loss: 0.51033, ACC: 89.96% 
08-29 00:41:33 [ 6] r: 1.200000, Lr: 0.000774, Training: 5.14%,  LossV: 0.40225, LossAV: 0.24650, LossSync: 0.61570, LossRank: 0.01786, Loss: 0.51098, ACC: 89.95% 
08-29 00:41:36 [ 6] r: 1.200000, Lr: 0.000774, Training: 5.21%,  LossV: 0.40321, LossAV: 0.24822, LossSync: 0.61613, LossRank: 0.01784, Loss: 0.51322, ACC: 89.86% 
08-29 00:41:37 [ 6] r: 1.200000, Lr: 0.000774, Training: 5.28%,  LossV: 0.40208, LossAV: 0.24765, LossSync: 0.61649, LossRank: 0.01779, Loss: 0.51212, ACC: 89.90% 
08-29 00:41:40 [ 6] r: 1.200000, Lr: 0.000774, Training: 5.35%,  LossV: 0.39998, LossAV: 0.24646, LossSync: 0.61625, LossRank: 0.01763, Loss: 0.50984, ACC: 89.95% 
08-29 00:41:41 [ 6] r: 1.200000, Lr: 0.000774, Training: 5.42%,  LossV: 0.39796, LossAV: 0.24525, LossSync: 0.61588, LossRank: 0.01772, Loss: 0.50759, ACC: 90.01% 
08-29 00:41:45 [ 6] r: 1.200000, Lr: 0.000774, Training: 5.50%,  LossV: 0.39634, LossAV: 0.24481, LossSync: 0.61677, LossRank: 0.01761, Loss: 0.50641, ACC: 90.06% 
08-29 00:41:46 [ 6] r: 1.200000, Lr: 0.000774, Training: 5.57%,  LossV: 0.39688, LossAV: 0.24586, LossSync: 0.61760, LossRank: 0.01768, Loss: 0.50783, ACC: 90.00% 
08-29 00:41:47 [ 6] r: 1.200000, Lr: 0.000774, Training: 5.64%,  LossV: 0.39414, LossAV: 0.24411, LossSync: 0.61712, LossRank: 0.01749, Loss: 0.50465, ACC: 90.09% 
08-29 00:41:50 [ 6] r: 1.200000, Lr: 0.000774, Training: 5.71%,  LossV: 0.39649, LossAV: 0.24424, LossSync: 0.61713, LossRank: 0.01761, Loss: 0.50595, ACC: 90.05% 
08-29 00:41:53 [ 6] r: 1.200000, Lr: 0.000774, Training: 5.78%,  LossV: 0.39667, LossAV: 0.24388, LossSync: 0.61772, LossRank: 0.01759, Loss: 0.50575, ACC: 90.09% 
08-29 00:41:56 [ 6] r: 1.200000, Lr: 0.000774, Training: 5.85%,  LossV: 0.39757, LossAV: 0.24430, LossSync: 0.61798, LossRank: 0.01766, Loss: 0.50665, ACC: 90.06% 
